33,15,56
41,13,62
37,24,63
10,4,46
9,-2,46
16,12,59
20,8,70
7,7,46
20,-10,77
17,-8,75
3,7,52
6,-4,55
20,0,70
17,12,60
21,-1,63
-2,0,50
-18,13,40
20,-35,55
47,-4,117
41,-8,55
26,6,51
20,-2,55
18,-12,55
23,1,56
28,-7,64
11,-9,55
8,-7,54
19,-11,58
29,-12,71
6,1,51
8,-7,57
4,-26,58
8,-11,56
12,-19,56
16,-16,57
8,-7,50
11,-34,51
19,-20,51
26,2,51
17,-44,56
14,-42,52
38,-15,59
36,-21,63
10,-23,44
13,-38,42
22,-46,48
27,-41,40
36,-33,34
43,-33,43
31,-48,20
49,-40,20
64,-20,30
52,-17,14
71,-33,19
74,-17,5
78,-11,-2
75,-7,-14
77,1,-16
78,2,-4
73,6,-7
61,15,-9
62,3,5
64,7,3
62,21,-1
57,16,-3
67,2,8
63,18,-1
59,18,-3
63,3,9
63,0,8
63,9,7
63,7,10
55,8,5
63,6,13
61,9,14
58,5,13
58,12,9
63,6,13
59,10,6
56,13,-2
68,8,5
66,8,5
54,12,-2
51,13,-7
66,8,8
57,10,-2
57,10,-3
60,14,1
61,12,2
62,14,0
60,13,0
62,7,5
61,13,4
58,16,-1
62,11,6
63,10,5
62,16,2
63,12,5
63,13,4
61,15,2
61,14,4
60,12,5
60,16,3
60,15,3
62,10,8
60,12,5
60,13,5
61,13,6
60,12,6
61,14,6
61,14,6
61,14,7
61,13,7
61,15,6
61,13,6
61,13,6
59,15,5
59,14,5
61,12,7
60,13,6
59,14,6
61,13,6
61,12,7
60,14,6
60,15,5
61,13,7
61,13,7
61,14,6
62,14,7
61,13,7
61,14,6
61,15,6
61,14,6
59,13,7
60,14,7
60,14,6
60,14,6
59,13,7
60,15,6
60,16,6
61,15,6
60,14,7
59,17,3
61,15,6
60,17,4
58,23,-1
59,23,-2
60,15,6
59,18,0
61,30,-2
54,25,-6
55,25,-6
64,17,3
67,8,12
59,15,2
68,6,11
63,3,7
65,14,8
67,5,9
61,5,7
66,-1,15
62,-5,12
59,7,12
60,9,8
62,-2,17
58,0,13
58,8,12
59,8,11
59,6,11
61,10,9
62,12,8
63,17,8
63,14,9
61,19,7
72,13,14
69,15,14
59,20,8
61,13,13
65,7,17
63,20,17
56,20,5
62,14,12
57,15,12
52,4,14
44,15,13
48,10,16
50,9,21
47,10,17
55,15,20
57,21,19
61,8,19
63,23,17
60,29,10
73,12,20
83,13,25
58,32,7
63,-1,19
72,1,34
52,18,22
43,9,19
46,2,19
75,8,46
58,2,35
34,-24,38
37,-15,44
28,-23,39
30,-30,44
28,-28,45
27,-31,43
28,-26,43
36,-26,48
35,-26,45
35,-36,53
34,-35,36
29,-10,44
32,-39,46
30,-37,50
28,-34,52
34,-20,62
34,-25,57
21,-31,40
21,-28,59
14,-33,55
1,-34,35
8,-28,60
9,-23,54
7,-26,53
6,-27,53
6,-23,60
2,-27,56
6,-25,63
4,-25,59
-3,-27,52
-5,-30,50
-5,-31,57
-5,-28,57
-5,-29,59
-7,-26,53
-5,-25,56
-3,-28,58
-5,-29,57
-8,-33,51
-11,-28,50
-6,-39,53
-3,-33,61
-6,-28,55
-5,-30,55
-7,-28,54
-7,-29,57
-7,-27,59
-9,-24,55
-8,-28,60
-12,-27,53
-14,-32,51
-6,-21,62
-6,-11,71
-12,-24,51
-15,-26,52
-9,-18,61
-11,-21,50
-8,-23,57
-8,-27,60
-10,-27,55
-7,-22,61
-6,-19,65
-14,-16,55
-11,-19,62
-13,-18,67
-17,-14,61
-22,-14,60
-22,-10,55
-21,-16,54
-29,-7,57
-27,-8,53
-30,-12,54
-35,-14,60
-36,-4,67
-23,-10,53
6,-8,37
-39,-1,57
-16,-74,13
-15,-26,34
-44,-19,59
-60,-19,78
-32,-34,53
71,-32,-44
7,-7,15
-123,-47,-47
-91,-31,-25
-101,1,13
-53,-20,5
-75,-24,-8
-62,-35,-10
-62,-36,-7
-41,-28,-3
-48,-21,0
-53,-18,0
-64,-23,-1
-66,-24,-5
-70,-20,-6
-69,-18,-6
-68,-21,-4
-62,-22,-6
-60,-21,-7
-58,-20,-5
-58,-20,-4
-63,-21,-5
-60,-19,-3
-60,-20,-4
-62,-21,-5
-65,-19,-6
-62,-19,-7
-61,-20,-6
-62,-19,-5
-56,-22,-3
-52,-23,-1
-58,-29,-6
-63,-31,-10
-66,-24,-10
-64,-21,-6
-60,-22,-7
-58,-21,-5
-59,-21,-7
-61,-24,-10
-58,-25,-6
-57,-23,-6
-61,-25,-7
-62,-26,-6
-62,-25,-6
-62,-25,-10
-60,-27,-10
-56,-25,-6
-55,-26,-7
-58,-29,-8
-59,-27,-7
-60,-24,-6
-66,-24,-10
-66,-25,-11
-57,-22,-8
-55,-21,-10
-49,-26,-10
-46,-25,-8
-61,-17,-3
-76,-23,-9
-72,-23,-12
-57,-20,-9
-75,-16,-14
-72,-20,-14
-60,-21,-14
-58,-21,-12
-53,-20,-4
-53,-10,-10
-58,-24,-12
-65,-25,-9
-72,-23,-3
-67,-17,-13
-57,-16,-11
-63,-21,-9
-67,-20,-6
-61,-24,-10
-60,-25,-13
-61,-22,-20
-49,-24,-4
-59,-10,9
-64,-25,-11
-70,-27,-10
-64,-24,-15
-47,-26,-10
-45,-22,-6
-63,-29,-10
-62,-37,-18
-58,-30,-15
-50,-21,-6
-38,-14,-3
-64,-41,-7
-74,-60,-21
-36,-12,-17
-74,-28,-1
-60,-31,-8
-36,-40,-14
-27,-30,4
-54,-50,-18
-64,-47,-13
-59,-31,-1
-52,-39,-14
-54,-35,-7
-55,-33,3
-53,-38,-5
-44,-41,-6
-69,-37,-12
-54,-28,-4
-35,-20,-7
-37,-37,-11
-85,24,5
-40,-84,-45
-24,-63,-39
-50,-36,-22
-46,-39,-17
-40,-40,-20
-42,-43,-28
-46,-42,-24
-50,-40,-22
-40,-41,-28
-39,-44,-23
-51,-52,-22
-38,-50,-32
-34,-48,-30
-42,-48,-19
-29,-38,-29
-36,-42,-26
-29,-49,-24
-22,-45,-28
-30,-60,-24
-27,-48,-24
-30,-46,-29
-30,-48,-28
-28,-48,-26
-30,-48,-30
-33,-51,-29
-31,-51,-29
-26,-52,-28
-29,-53,-29
-29,-48,-27
-28,-45,-27
-32,-53,-31
-27,-49,-28
-26,-48,-28
-27,-53,-31
-27,-54,-29
-27,-47,-29
-28,-53,-30
-28,-55,-29
-26,-48,-29
-28,-50,-29
-25,-53,-29
-23,-49,-28
-26,-50,-30
-23,-52,-30
-23,-50,-29
-28,-50,-29
-26,-51,-29
-25,-53,-30
-28,-52,-29
-26,-52,-29
-24,-51,-29
-27,-53,-29
-26,-50,-30
-26,-49,-28
-28,-53,-29
-25,-53,-28
-23,-51,-27
-28,-52,-26
-31,-52,-25
-32,-47,-23
-26,-52,-27
-25,-50,-29
-26,-52,-25
-23,-53,-28
-28,-54,-29
-33,-49,-25
-35,-47,-26
-40,-44,-27
-39,-46,-29
-32,-45,-26
-28,-50,-23
-34,-34,-17
-41,-38,1
-33,-28,6
-39,-35,0
-32,-50,1
-27,-66,2
-46,-60,9
-48,-60,8
-45,-62,-4
-47,-57,-6
-49,-49,-10
-45,-47,-11
-45,-43,-7
-47,-49,-8
-50,-53,-7
-51,-53,-1
-52,-51,1
-47,-46,0
-43,-43,1
-46,-43,4
-52,-46,4
-53,-48,4
-55,-45,5
-50,-40,4
-48,-37,3
-46,-37,0
-46,-38,-2
-49,-39,-1
-49,-40,-1
-46,-43,-5
-46,-42,-4
-47,-43,-3
-49,-45,-4
-48,-45,-4
-53,-47,-1
-54,-46,0
-53,-44,-1
-52,-40,0
-51,-39,-1
-48,-35,-3
-49,-34,-3
-51,-36,-3
-53,-35,-1
-55,-35,-1
-58,-40,0
-58,-39,1
-54,-36,3
-52,-34,2
-51,-33,2
-51,-33,2
-51,-33,2
-52,-36,0
-51,-36,-1
-54,-38,0
