-84,-1,48
-74,16,41
-60,18,39
-38,-6,37
-32,-3,38
-74,-2,41
-99,0,29
-49,13,25
-35,3,31
-50,-9,33
-59,11,25
-66,1,31
-66,1,32
-65,-11,25
-82,0,28
-82,7,29
-58,-1,20
-51,-5,22
-58,-6,20
-61,4,19
-68,6,25
-47,-1,20
-50,10,17
-68,5,24
-66,-10,24
-65,-21,12
-79,3,10
-58,11,16
-59,11,14
-86,-5,7
-91,18,10
-46,12,14
-50,-7,12
-53,1,11
-62,4,11
-74,-5,13
-88,7,11
-73,-2,17
-62,-4,14
-58,4,13
-60,7,20
-79,4,18
-75,2,17
-73,10,8
-58,16,9
-63,7,22
-82,15,19
-35,-1,25
-38,0,29
-54,6,33
-41,2,37
-81,7,40
-75,5,35
-21,6,34
-48,-1,44
-64,-23,31
-42,22,32
-39,14,41
-68,-19,42
-61,-17,30
-35,-1,31
-57,1,32
-61,0,25
-69,11,16
-73,9,30
-75,-11,35
-79,-23,21
-61,3,18
-45,16,15
-54,1,20
-81,-7,21
-64,2,21
-43,-3,22
-69,-15,13
-92,0,17
-67,-10,22
-80,12,14
-57,-3,21
-49,-5,18
-65,-9,18
-61,8,21
-55,16,17
-74,19,14
-79,1,20
-63,-3,29
-55,-13,34
-37,-1,23
-47,9,32
-79,6,35
-63,-13,34
-51,-18,33
-62,-10,29
-70,12,19
-57,-23,34
-72,18,36
-41,2,31
-46,-9,27
-40,6,28
-50,12,26
-51,15,24
-76,5,30
-80,0,34
-60,14,37
-48,15,39
-49,9,28
-57,10,35
-53,5,30
-42,2,31
-72,2,30
-49,12,28
-38,8,27
-68,0,28
-68,10,24
-55,4,25
-70,-1,29
-60,0,24
-43,7,27
-66,8,25
-75,11,25
-63,1,27
-66,3,22
-60,13,20
-60,2,22
-62,-3,21
-58,17,15
-61,13,18
-72,7,17
-62,22,11
-62,11,15
-76,0,17
-66,18,11
-54,18,13
-60,8,13
-75,19,13
-66,17,13
-61,11,9
-70,21,11
-70,4,17
-73,4,15
-56,18,8
-53,11,11
-70,11,12
-73,17,13
-61,3,15
-58,16,7
-61,23,7
-66,2,16
-68,3,15
-66,21,8
-65,18,9
-65,8,10
-61,11,10
-62,11,10
-68,13,10
-70,12,10
-60,10,9
-63,16,9
-72,11,9
-65,20,6
-58,14,8
-62,13,10
-65,13,10
-66,16,7
-60,17,11
-62,14,10
-61,16,7
-68,10,12
-63,9,11
-54,3,12
-67,13,1
-75,24,8
-69,13,10
-57,11,6
-65,26,1
-74,10,11
-65,16,9
-71,10,12
-59,14,4
-52,21,2
-69,10,10
-73,7,12
-60,20,6
-56,13,7
-68,13,9
-69,15,10
-56,8,12
-61,4,13
-70,21,5
-63,12,11
-60,4,11
-64,11,5
-65,23,3
-57,19,4
-57,14,9
-78,10,9
-76,20,7
-57,25,4
-63,16,4
