EpochNum,StartTime,EndTime,BinaryLabels
122,2018-11-13 13:36:28,2018-11-13 13:36:33,1.0
123,2018-11-13 13:36:33,2018-11-13 13:36:38,1.0
124,2018-11-13 13:36:38,2018-11-13 13:36:43,1.0
125,2018-11-13 13:36:43,2018-11-13 13:36:48,1.0
126,2018-11-13 13:36:48,2018-11-13 13:36:53,1.0
127,2018-11-13 13:36:53,2018-11-13 13:36:58,1.0
128,2018-11-13 13:36:58,2018-11-13 13:37:03,1.0
129,2018-11-13 13:37:03,2018-11-13 13:37:08,1.0
130,2018-11-13 13:37:08,2018-11-13 13:37:13,1.0
131,2018-11-13 13:37:13,2018-11-13 13:37:18,1.0
132,2018-11-13 13:37:18,2018-11-13 13:37:23,1.0
133,2018-11-13 13:37:23,2018-11-13 13:37:28,1.0
134,2018-11-13 13:37:28,2018-11-13 13:37:33,1.0
135,2018-11-13 13:37:33,2018-11-13 13:37:38,1.0
136,2018-11-13 13:37:38,2018-11-13 13:37:43,1.0
137,2018-11-13 13:37:43,2018-11-13 13:37:48,1.0
138,2018-11-13 13:37:48,2018-11-13 13:37:53,1.0
139,2018-11-13 13:37:53,2018-11-13 13:37:58,1.0
140,2018-11-13 13:37:58,2018-11-13 13:38:03,1.0
141,2018-11-13 13:38:03,2018-11-13 13:38:08,1.0
142,2018-11-13 13:38:08,2018-11-13 13:38:13,1.0
143,2018-11-13 13:38:13,2018-11-13 13:38:18,1.0
144,2018-11-13 13:38:18,2018-11-13 13:38:23,1.0
145,2018-11-13 13:38:23,2018-11-13 13:38:28,1.0
146,2018-11-13 13:38:28,2018-11-13 13:38:33,1.0
147,2018-11-13 13:38:33,2018-11-13 13:38:38,1.0
148,2018-11-13 13:38:38,2018-11-13 13:38:43,1.0
149,2018-11-13 13:38:43,2018-11-13 13:38:48,1.0
150,2018-11-13 13:38:48,2018-11-13 13:38:53,1.0
151,2018-11-13 13:38:53,2018-11-13 13:38:58,1.0
152,2018-11-13 13:38:58,2018-11-13 13:39:03,1.0
153,2018-11-13 13:39:03,2018-11-13 13:39:08,1.0
154,2018-11-13 13:39:08,2018-11-13 13:39:13,1.0
155,2018-11-13 13:39:13,2018-11-13 13:39:18,1.0
156,2018-11-13 13:39:18,2018-11-13 13:39:23,1.0
157,2018-11-13 13:39:23,2018-11-13 13:39:28,1.0
158,2018-11-13 13:39:28,2018-11-13 13:39:33,1.0
159,2018-11-13 13:39:33,2018-11-13 13:39:38,1.0
160,2018-11-13 13:39:38,2018-11-13 13:39:43,1.0
161,2018-11-13 13:39:43,2018-11-13 13:39:48,1.0
162,2018-11-13 13:39:48,2018-11-13 13:39:53,1.0
163,2018-11-13 13:39:53,2018-11-13 13:39:58,1.0
164,2018-11-13 13:39:58,2018-11-13 13:40:03,1.0
165,2018-11-13 13:40:03,2018-11-13 13:40:08,1.0
